MotherLot,ChildLotId,ProductName,WorkOrder,PanelId,MagazineId
A20041100050,A20041100050.020,122-000000-K68H,SP104-200400004,HA18010402075C,HT04
A20041100060,A20041100060,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.001,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.002,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.003,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.004,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.005,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.006,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.007,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.008,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.009,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.010,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.011,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.012,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.013,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.014,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.015,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.016,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.017,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.018,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.019,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100060,A20041100060.020,122-000000-K68H,SP104-200400004,SA180221C000QN,HT04
A20041100062,A20041100062,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.001,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.002,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.003,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.004,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.005,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.006,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.007,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.008,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.009,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.010,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.011,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.012,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.013,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.014,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.015,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.016,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.017,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.018,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.019,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100062,A20041100062.020,122-000000-K68H,SP104-200400004,HA180104020501,HT04
A20041100063,A20041100063,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.001,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.002,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.003,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.004,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.005,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.006,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.007,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.008,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.009,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.010,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.011,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.012,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.013,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.014,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.015,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.016,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.017,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.018,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.019,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100063,A20041100063.020,122-000000-K68H,SP104-200400004,SA180221C000MA,HT04
A20041100067,A20041100067,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.001,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.002,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.003,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.004,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.005,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.006,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.007,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.008,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.009,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
